"key","message","comment","context"
"Address","Address",,
"Address Type",,,
"CGST",,,
"Company",,,
"Contact",,,
"Contact Type",,,
"Country",,,
"GST RATE",,,
"GSTIN",,,
"Generate Invoice",,,
"Gst Details",,,
"Gst Invoice",,,
"Gst Rate",,,
"Gst.No","GSTIN No",,
"Gstin No.",,,
"HSBN NO",,,
"HSBN No Details",,,
"IGST",,,
"Invoice",,,
"Invoice line",,,
"Invoice.Date","Invoice Date",,
"Invoice.No","Invoice No",,
"Net CGST",,,
"Net IGST",,,
"Net SGST",,,
"Partner",,,
"Partner.Name","Partner Name",,
"Print",,,
"Product",,,
"Product Catalog",,,
"Product category",,,
"Product.Details","Product Details",,
"Products",,,
"SGST",,,
"State",,,
"State Details",,,
"State Name",,,
"default",,,
"invoice",,,
"other",,,
"others",,,
"primary",,,
"secondary",,,
"shipping",,,
